Offering,hesta Conservative,hesta Eco,hesta Balanced Growth,hesta Indexed Balanced Growth,hesta Cash and Term Deposits,hesta Property and Infrastructure,hesta Diversified Bonds,hesta International Shares,hesta Australian Shares,hesta Core Pool ,hesta Shares Plus ,hesta Cash ,hesta Global Bonds ,hesta Property ,hesta Infrastructure ,hesta International Shares ,hesta Australian Shares ,hesta Private Equity ,hesta High Growth,aware Conservative,aware Growth,aware Growth AVG,aware High Growth AVG,aware Diversified Socially Responsible Investment,aware Diversified Socially Responsible Investment AVG,aware Balanced Growth,aware Balanced Growth AVG,aware Cash,aware Cash AVG,aware Australian Equities,aware Australian Equities AVG,aware Australian Equities Socially Responsible Investment,aware Australian Equities Socially Responsible Investment AVG,aware International Equities,aware International Equities AVG,aware Property,aware Property AVG,aware Australian Fixed Interest,aware Australian Fixed Interest AVG,aware International Fixed Interest,aware International Fixed Interest AVG,aware Conservative Growth,aware Conservative Growth AVG,telstra Growth,telstra Balanced,telstra Defensive Growth,telstra Conservative,telstra International Shares,telstra Australian Shares,telstra Property,telstra Fixed Interest,telstra Cash,telstra Diversified Income
2009-06,,,,,,,,,,,,,,,,,,,,0.7133502,0.6158458,,,,,0.5476453,,0.2515792,,3.6365129,,1.9944222,,-0.5571697,,-2.0773305,,-0.1557026,,1.2960594,,0.4229571,,,,,,,,,,,
2009-07,,,,,,,,,,,,,,,,,,,,3.336339,2.6208844,,,,,1.9911373,,0.2186206,,3.9714573,,4.3741515,,3.9785166,,-0.9088276,,0.2890526,,0.6989204,,1.3527248,,,,,,,,,,,
2009-08,,,,,,,,,,,,,,,,,,,,4.9242695,3.9777395,,,,,3.037815,,0.2061231,,7.5404834,,8.1053968,,3.9619415,,3.3624862,,1.0211975,,1.451673,,2.0853048,,,,,,,,,,,
2009-09,,,,,,,,,,,,,,,,,,,,2.1137213,1.797446,,,,,1.4468136,,0.2559264,,5.1099475,,4.9295156,,-0.2367863,,1.4412458,,0.8421516,,0.8114555,,1.0918008,,,,,,,,,,,
2009-10,,,,,,,,,,,,,,,,,,,,-1.371976,-1.0651081,,,,,-0.7998733,,0.2086603,,-0.0431313,,1.5051013,,-3.1674531,,-1.260772,,-1.0676175,,0.0334958,,-0.5335688,,,,,,,,,,,
2009-11,,,,,,,,,,,,,,,,,,,,1.3623086,1.1547345,,,,,1.0178995,,0.2459366,,0.6242353,,0.4065254,,2.5989117,,-0.146457,,1.3927985,,0.8782862,,0.8720363,,,,,,,,,,,
2009-12,,,,,,,,,,,,,,,,,,,,2.4165419,1.8010527,,,,,1.2335877,,0.284237,,2.9134896,,2.5477681,,3.0479411,,0.6136747,,-0.4049551,,-0.7095856,,0.6674215,,,,,,,,,,,
2010-01,,,,,,,,,,,,,,,,,,,,-2.4730253,-1.7436872,,,,,-1.0188493,,0.2882592,,-3.6277396,,-3.5069863,,-2.6498552,,-1.7460608,,1.2572966,,1.0194518,,-0.3049784,,,,,,,,,,,
2010-02,,,,,,,,,,,,,,,,,,,,0.3499598,0.3698518,,,,,0.3679502,,0.2833835,,0.781504,,1.0680711,,-0.2403587,,0.7573878,,0.3863713,,0.6018345,,0.381119,,,,,,,,,,,
2010-03,,,,,,,,,,,,,,,,,,,,4.0478443,3.095286,,,,,2.2453099,,0.3005946,,5.6830136,,5.5222105,,4.3503089,,0.212397,,-0.2989343,,0.4396337,,1.3740019,,,,,,,,,,,
